,country,pop-averaged_exceedance_days_2010,pop-averaged_exceedance_days_2015,pop-averaged_exceedance_days_2020,pop-averaged_exceedance_days_2025
0,global,292.3494103,290.3213926,286.2812216,286.3020708
1,AFG,273.981929,261.7294963,265.5049086,278.7822138
2,AGO,292.970772,305.2573697,315.4008402,320.1710328
3,ALB,187.4643523,180.3647905,165.4096036,176.8002136
4,ARE,364.6560706,363.778634,364.4865169,364.5925033
5,ARG,123.4934479,118.3451248,122.3108163,119.281471
6,ARM,249.6025488,239.7665831,229.4518604,230.63038
7,AUS,96.85782324,91.52019676,79.05618514,73.88801355
8,AUT,223.2223096,213.5035862,178.1198493,175.6590941
9,AZE,225.7884941,194.9115343,183.1490844,178.223038
10,BDI,352.1568515,355.0044243,356.2998135,357.2301144
11,BEL,244.5012222,208.0254822,166.5977869,154.9191492
12,BEN,321.0640915,327.8824672,330.9178892,327.2745787
13,BFA,304.5499663,309.6917287,305.2572087,302.732409
14,BGD,350.906934,355.9522264,356.7038752,357.2243916
15,BGR,197.3001538,165.2460959,133.7501087,133.4172734
16,BHR,365,364.9491246,365.33104,365.2414875
17,BHS,90,77.12187686,88.00924752,98.39806407
18,BIH,110.9267562,97.74441531,84.56149017,89.52951525
19,BLR,87.96025036,75.00115713,64.10846395,68.65044771
20,BOL,54.23099408,36.64653279,44.63807458,37.11868299
21,BRA,164.5714525,166.7150068,164.0847763,158.7394863
22,BWA,110.4584443,83.14470291,77.55388845,87.54295654
23,CAF,261.4702007,259.9594838,274.5038272,280.9023494
24,CAN,172.2390739,167.3246819,146.4124365,151.6618402
25,CHE,273.1135157,257.7041446,217.7594566,206.2482237
26,CHL,264.800681,268.5716585,267.8394114,266.8115961
27,CHN,360.0423429,360.201341,360.2015492,359.9760476
28,CIV,302.0902738,310.1404668,318.7338545,320.5717493
29,CMR,268.2039662,275.0976508,286.5366784,294.2193691
30,COD,309.4359593,313.7378551,319.0818777,322.8414596
31,COG,348.1517904,348.0452744,351.9840301,354.6220814
