,pop-averaged_exceedance_days_2010,pop-averaged_exceedance_days_2015,pop-averaged_exceedance_days_2020
global,291.578405315487,287.7861673099517,278.53739842816225
AFG,274.14309211622106,251.1956652216238,271.2819921074011
AGO,294.8619714924469,316.4409225831595,328.8776310620393
ALB,187.60159907265947,174.30884945626033,141.18061399586318
ARE,364.48260979806685,362.941038715738,365.8184717069358
ARG,124.84889342758453,113.64753361622915,129.83899618196122
ARM,249.61889589306037,229.83105197810542,207.29506544984898
AUS,97.73823249885452,87.31177425767925,57.14412821592687
AUT,223.57140831378484,204.3600683519042,114.12576012028696
AZE,225.77798638514795,165.66010923779513,161.3287083631457
BDI,352.06696015647685,357.2319148653107,358.2023741044587
BEL,245.0175850161564,172.01197307716495,86.07076978647542
BEN,319.1303555819024,333.06915700024217,335.68560680340505
BFA,304.60680489011355,313.9692479682587,298.936248218261
BGD,350.86095636944407,360.5728680724256,358.04211239132195
BGR,197.25567684997247,133.18169308765806,70.98354317286478
BHR,365.0,364.9922568423293,366.0
BHS,90.0,65.0,108.0
BIH,110.23266279568922,83.2217620091777,52.857664891846916
BLR,87.98069290687059,62.43266957210702,43.48530361356953
BOL,54.2288548281288,20.66780736350821,58.2798229096445
BRA,165.38207295986192,169.1681452174808,159.14700866917377
BWA,113.54240439846852,61.10302265288207,68.20633180285225
CAF,261.445463825685,258.55288078347485,300.01612817424115
CAN,173.1276861305007,162.9118852977241,107.27980078579306
CHE,273.96752782944003,243.1097317136133,141.15884965516494
CHL,265.00433810971845,272.2151150545605,266.4988262040383
CHN,359.9426201392459,360.2867880130271,360.2016778217954
CIV,302.49486475482456,317.68546519547715,332.89812453228154
CMR,268.3453949606893,280.7888352343947,304.15679035848297
COD,311.710859813693,318.9937507181344,327.2370518966565
COG,348.4691496151048,348.58410416303735,357.58358030595247
COL,262.0848594654128,311.3416514452717,287.748218117023
CPV,183.0,252.0,255.0
CRI,100.0,140.0,137.0
CUB,130.24925012764845,125.28658680156705,135.68530682787838
CUW,177.0,213.0,171.0
CYP,236.96657670189882,188.75278473220115,233.72677958904586
CZE,251.63762793795152,223.95315841053,164.28589490513673
DEU,185.85153704273858,136.9135734669552,70.79037469474285
DJI,297.4033505503109,283.5448294590115,238.4077298580927
DNK,47.80906661943715,35.57172484174019,11.561817598312569
DOM,244.54307195901006,221.75688187751857,230.28009342664546
DZA,270.32605133961476,295.2487834809025,304.6632094616127
ECU,193.17320210988981,217.06654667613952,217.11457643867755
EGY,355.2280217331559,353.10142309217593,355.80889898709927
ERI,276.3428339747204,268.88719197181433,227.3318683920046
ESH,111.0,137.0,94.0
ESP,125.48890809673946,126.03887655242903,81.5873247362393
EST,92.0,47.00000000000001,38.0
ETH,346.2428522801708,339.0479976198506,339.0740306994722
FIN,183.37357613720746,137.1673109675725,55.265739379218175
FJI,4.0,2.9999999999999996,0.0
FRA,221.11943427863807,172.91406866964252,89.74922008552932
GAB,308.98247701131925,313.9268219800332,333.1380774394421
GBR,175.37235912544884,104.54029881741728,70.70286973366358
GEO,160.29150247144588,116.95033442686022,81.22384599422911
GHA,276.02861428384455,305.28953723390924,319.1620560218276
GIN,286.2955098733812,293.5273979554181,316.52216814791376
