,country,urban_area_sqmeters_2020,urban_population_2020,urban_popdensity_persons-per-sqmeter_2020
0,AFG,526799061.2,3615488.431,0.006863126
1,AGO,1721850639,11835423.13,0.006873664
2,ALB,135382545.2,744328.9154,0.005497968
3,ARE,1017184290,1633668.39,0.001606069
4,ARG,4407820866,19021243.73,0.00431534
5,ARM,252829800.5,960693.5351,0.003799764
6,AUS,6348082141,10921764.94,0.001720483
7,AUT,579427487.1,2058018.226,0.003551813
8,AZE,667160271.2,2128035.676,0.003189692
9,BDI,95044920.81,718840.2833,0.007563164
10,BEL,2441601917,4135619.949,0.001693814
11,BEN,549582969,2025998.164,0.003686428
12,BFA,536116656.5,2748388.056,0.005126474
13,BGD,1231870894,22046142.16,0.017896471
14,BGR,344072233.2,830515.1994,0.002413782
15,BHR,225649691.6,1712859.943,0.007590792
16,BHS,78688509.99,133112.245,0.001691635
17,BIH,115533195.2,223090.8813,0.001930968
18,BLR,858366901.9,3126260.876,0.003642103
19,BOL,923288020.3,2832139.209,0.003067449
20,BRA,13926836609,84253727.2,0.006049739
21,BWA,144437227.7,106372.0658,0.000736459
22,CAF,120300404.6,760328.247,0.006320247
23,CAN,9055831216,17383269.54,0.001919566
24,CHE,2161283182,2134026.948,0.000987389
25,CHL,1350032499,7649470.816,0.005666138
26,CHN,85305847542,390744178.7,0.004580509
27,CIV,714373174.8,5465329.942,0.007650525
28,CMR,1150240303,5474416.308,0.004759367
29,COD,1898343678,14270687.62,0.007517442
30,COG,779505636.4,776025.6065,0.000995536
31,COL,1586359852,17447495.19,0.010998447
32,CPV,15665868.9,4831.098204,0.000308384
33,CRI,336950917.9,1340094.799,0.003977122
34,CUB,381893555.6,1212781.846,0.003175706
35,CUW,88516092.38,106278.9677,0.001200674
36,CYP,165840833.3,396347.3681,0.002389926
37,CZE,492430045.8,1335542.2,0.002712146
38,DEU,7790614846,18640328.74,0.002392665
39,DJI,33823922.92,290145.9121,0.008578127
40,DNK,501880753.5,1527701.708,0.003043954
41,DOM,610679160.8,4433811.393,0.00726046
42,DZA,1426432959,8952734.528,0.006276309
43,ECU,1018392673,4789985.486,0.004703476
44,EGY,2591246243,28072102.95,0.010833437
45,ERI,39660036.44,147355.5692,0.003715467
46,ESH,19358022.93,181.4106775,9.37E-06
47,ESP,2493930514,16225377.73,0.006505946
48,EST,85979414.75,288410.3431,0.003354412
49,ETH,740354366.2,4723224.061,0.00637968
50,FIN,356326274.1,713972.9725,0.002003706
51,FJI,55844651.9,197595.8166,0.003538312
52,FRA,7361009994,21517015.1,0.002923106
53,GAB,209431706.7,466582.1072,0.002227848
54,GBR,8029108621,31336772.36,0.003902896
55,GEO,219736476,973577.3067,0.004430659
56,GHA,2305091203,8583256.776,0.003723608
57,GIN,386062157.5,1700639.021,0.004405091
58,GLP,68439399.01,58474.72206,0.000854401
59,GMB,2393100.061,24998.19321,0.010445946
60,GNB,54485473.6,289195.3039,0.005307751
61,GNQ,89957284.45,52504.25583,0.000583658
62,GRC,719937736.8,3941582.307,0.005474893
63,GTM,450888411.1,1970358.141,0.004369946
64,GUF,28360939.43,42569.12313,0.001500977
65,GUM,8212352.89,14707.14273,0.001790856
66,GUY,56029118.51,127042.7406,0.002267441
67,HKG,5673494349,3810318.227,0.0006716
68,HND,270757307.4,959534.427,0.003543891
69,HRV,235583578.9,540222.772,0.002293126
70,HTI,320792569.8,3261694.151,0.010167611
71,HUN,821916167.7,2362553.398,0.002874446
72,IDN,10389098111,63347965.63,0.006097542
73,IND,21658002425,180233682.1,0.008321805
74,IRL,311599447.1,1235482.833,0.003964971
75,IRN,4005981806,13862985.09,0.003460571
76,IRQ,1810415405,5348368.245,0.002954222
77,ISL,49276868.07,77012.51868,0.001562853
78,ISR,592066602.3,2531085.586,0.004275001
