,country,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
0,global,7369499950.856252,1675339966.6486762,4.398808658279719,7932871456.2929535,1877121169.3013802,4.226083849049222
1,AFG,1657704.3978629871,3181263.509049863,0.5210836490429829,2025333.134339764,3615488.431298877,0.5601824408582483
2,AGO,9570152.963566482,5358001.634229322,1.7861422255693327,8161752.551062782,11835423.130176304,0.6896037819089956
3,ALB,398893.1965093105,627724.3603797513,0.6354591627892122,434078.38125593716,744328.9153869596,0.58318086572019
4,ARE,45483148.242020614,1103653.2510479393,41.2114477068169,44800734.821894884,1633668.39012016,27.4233957716472
5,ARG,57235892.76065208,17912615.000075515,3.195284036440843,48364057.07270369,19021243.730469577,2.542633791881375
6,ARM,1394838.8993415295,965679.866632505,1.444411287361284,1551464.084727234,960693.5351152008,1.6149417353383058
7,AUS,69096538.62430966,10512754.878011754,6.572638611486172,61813654.87545775,10921764.944706922,5.659676360771237
8,AUT,9791243.434812032,1952760.613715617,5.01405208915072,9546379.663789187,2058018.2256748325,4.638627367189079
9,AZE,13337824.37417639,1932840.9087677929,6.900632283636525,12759450.241114706,2128035.6758502135,5.995881735402263
10,BDI,153561.91944177763,558805.273665646,0.27480399108341175,189995.49480484222,718840.2833239576,0.26430835779860923
11,BEL,36917196.30627298,3753011.391563156,9.836686451115915,34883512.532122955,4135619.948792056,8.4348931874922
12,BEN,830159.0793747634,1658852.2103713816,0.5004418562331774,1054163.4721282276,2025998.1641792005,0.5203180786470774
13,BFA,1626777.9268439987,1909714.9995901426,0.8518432997557923,1988302.919075687,2748388.0564146396,0.7234432977668707
14,BGD,12542088.637128158,19080480.14323144,0.6573256303289258,15193177.970481547,22046142.16488928,0.6891535878181093
15,BGR,2258541.95357091,817816.1675199082,2.761674375330725,2149035.395427246,830515.1994346353,2.587593095093479
16,BHR,7572050.614945675,1006540.1372743108,7.522850142320828,12207532.982198058,1712859.9427321246,7.126988423073422
17,BHS,911248.5110845398,122477.79767397721,7.440111827534537,951180.2631216514,133112.24496268446,7.145700708363059
18,BIH,291997.03572151746,226478.03718950757,1.2892951534951103,310053.8294877114,223090.8812824019,1.3898095148731182
19,BLR,14256520.588566316,3018891.565162676,4.722435463758729,13616825.974331664,3126260.8756596977,4.355626902524015
20,BOL,6329358.770974092,2708829.3584439983,2.3365660709649845,6082290.885334339,2832139.208736481,2.147596017375102
21,BRA,209993847.53078195,78296428.07768461,2.682036111818907,195560444.49784845,84253727.19715892,2.3210895351872676
22,BWA,289980.6583818744,97207.726039501,2.9831029918757572,283974.04421185673,106372.06584909162,2.669629868942531
23,CAF,135124.57486243133,663067.6476362301,0.2037870122967648,158087.77397780324,760328.2470080461,0.2079204272626876
24,CAN,154507399.4334274,15927802.09277949,9.70048463268324,154046776.0338893,17383269.535403978,8.861783781247071
25,CHE,16239050.840538412,2040496.9007419148,7.958380546735441,14932158.408576868,2134026.948128446,6.997174249215765
26,CHL,17461469.87385111,6765154.60295889,2.581089553550476,18301755.779276572,7649470.815907487,2.3925518796956626
27,CHN,2388537347.7612658,345856834.07693684,6.906144717758935,2906518896.794525,390744178.69584745,7.4384189330609045
28,CIV,2521031.9640597003,4758144.790375272,0.529835067053701,2919325.3531175377,5465329.942403341,0.5341535431315213
29,CMR,2580286.3687846987,3975795.640561025,0.648998741902286,3207857.089832587,5474416.308356806,0.5859724414702859
