,country,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_emissions_tonnesCO2e_2016,urban_population_2016,urban_ghg_emissions_tonnesCO2e_2017,urban_population_2017,urban_ghg_emissions_tonnesCO2e_2018,urban_population_2018,urban_ghg_emissions_tonnesCO2e_2019,urban_population_2019,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020
0,AFG,335932.36346036586,2175297.964760338,440311.1730084903,2469429.1974314936,1430600.0284047925,2793943.943887049,1702317.0940992148,3243724.8399133007,1797011.0539689204,3240318.9215253494,1991173.7948199632,3311118.456448768,2120071.2809323887,3451250.337006669,1986009.3086194673,3509637.635653806,2025333.134339764,3615488.431298877
1,AGO,3259640.6561668483,651027.8101450768,4791000.562222755,1386399.3592664106,7013934.910410266,2788699.2769558453,10075145.522476329,5652588.8897856595,9184121.942382056,6580549.0177923925,8166176.516241162,7521942.689106367,8165697.597101966,8642931.743309181,8385641.40763863,10144457.269697541,8161752.551062782,11835423.130176304
2,ALB,277395.35078867414,414295.42356226547,310099.40664626774,472632.3365926721,386921.2218299594,538192.8260193949,416012.3209301457,637639.275818505,402935.94249817583,656305.811470159,471687.256889256,681294.6328242637,478759.69165274565,702681.6444060816,456189.57665230695,725355.4704997996,434078.38125593716,744328.9153869596
3,ARE,20325852.303380497,487291.9685265336,25121812.8662684,619038.2613606157,40718905.124062315,831327.676413144,50690119.08935616,1237267.4921827598,51711486.77153655,1207072.286037893,48856671.45047319,1397894.260255795,42344498.650756605,1448050.433050034,47293092.338837065,1516915.153721583,44800734.821894884,1633668.39012016
4,ARG,44291536.24474026,14238774.567283817,49512173.58967609,15050708.552264858,50301911.60116961,15897720.602203097,58054553.357668474,18042533.507657427,58040464.469562076,18234456.8657709,54504680.70470235,18305258.423848566,53221740.86391693,18774070.67703931,50468869.12014282,18903693.941376828,48364057.07270369,19021243.730469577
5,ARM,1294936.1978961453,1025022.2023292101,1264761.5233203901,1005021.5022251265,1047372.9472096908,991019.39894665,1407854.2835420063,970073.7148823324,1345894.989052609,971050.7264351029,1404233.2368430742,961064.2523117713,1506712.8258840907,961135.9585543068,1515969.3999463255,957611.35116817,1551464.084727234,960693.5351152008
6,AUS,66186930.74300043,10842634.392888516,63325703.38602533,10886138.519487236,73045667.00529464,10913940.247049041,72443428.44412322,10940716.83116984,71547532.93074876,10939476.512920793,66991606.07278915,10938199.90682184,65584481.12423864,10932434.626013186,65071167.75224178,10922823.212043134,61813654.87545775,10921764.944706922
7,AUT,9490829.17862645,1642888.6885956805,11415577.823769182,1745237.456856693,11724082.97482385,1848304.4133953329,9938685.696202414,1969822.2088658228,10027902.502080835,2010588.4236336774,10437299.060292672,2012622.57253834,9861086.532152625,2042241.6935913146,10361202.08167812,2067281.242934539,9546379.663789187,2058018.2256748325
8,AZE,3994202.2837431664,1572040.6626331713,6821691.188821811,1668589.608786136,6436523.755454256,1808457.4226126492,13523864.132858599,1949321.5088635508,13178318.030146401,2007680.1983580731,13159652.887044799,2031580.6448794473,13749931.971125294,2058974.0338610034,15354283.630476872,2101446.4137511924,12759450.241114706,2128035.6758502135
9,BDI,133003.7795950544,267339.1057359136,172034.9526980027,346547.05016040575,164324.2119464135,441173.9313217282,160352.3842113452,564837.8214612841,168129.61327397093,592030.1636633979,182470.34901251015,624369.3900509286,198512.73688060016,653692.0324660313,200223.451367223,686775.9496047606,189995.49480484222,718840.2833239576
10,BEL,43854527.511527546,3338931.4368711035,42404765.304633,3555734.2917748205,42909052.47609812,3696933.2326561897,38810590.46471756,3944081.406753774,38682338.99702063,3981728.746789552,38740962.10580285,4029533.370573057,38715828.93881204,4062664.412481228,38334733.015512906,4109684.325871348,34883512.532122955,4135619.948792056
11,BEN,452549.0349847316,1070285.604766814,593678.2900675713,1249876.905669871,741476.242829088,1432830.95818854,850168.9465432834,1683210.3368903513,896231.898188021,1750355.868680555,920669.9144428198,1796957.2848717012,982592.36711139,1872134.0674533653,1076944.664515804,1921973.8208276047,1054163.4721282276,2025998.1641792005
12,BFA,498289.26856956567,700346.7065164795,715662.3495902992,977677.8012785153,990682.1530320825,1386518.2547374177,1673009.305264153,1958572.5942095474,1706919.8272002744,2096315.5744155897,1803271.910257908,2237520.5624311175,1939272.9555208948,2416794.493120999,2022141.3571425993,2554976.5479405737,1988302.919075687,2748388.0564146396
13,BGD,4903519.610936634,11758264.025386725,6517519.813879367,13805445.52189206,10274687.972351136,16064974.70620791,12648942.846695388,19166392.925737675,13070386.719607363,19843673.13687969,13801588.027511735,20345739.209980384,14445660.936189733,20913222.96444916,15317060.014111223,21160206.30225913,15193177.970481547,22046142.16488928
