geo,urban_built_volume_2000,urban_built_area_2000,urban_population_2000,urban_built_volume_2005,urban_built_area_2005,urban_population_2005,urban_built_volume_2010,urban_built_area_2010,urban_population_2010,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
global,794447616499.2744,76796074150.38412,1904135717.5253203,956460563447.2496,95908769125.06274,2204877232.173122,1090517111492.4548,111765998375.98036,2505930353.4156284,1200687106004.9375,125819051502.19998,2755511533.1027384,1270280162393.282,135924404387.33719,2985964378.9785647
AFG,611716611.3137264,84221597.76862752,3869256.9216011725,675212684.4901967,94322976.50196084,4777468.961423881,785772725.4039199,111958510.34509805,5723072.191004288,893845207.3921555,130070818.31764704,6832927.365021722,955496230.8235282,142564288.41960782,8425116.408258624
AGO,3760751339.6117606,475484937.0705881,9563508.067214934,3987030829.6823463,497471805.7921572,11039050.047755513,4103207452.2901893,512675746.5490192,14271898.553434392,4263706962.4588127,535555229.16862816,19722622.47589246,4753714320.599993,618483923.243137,26027327.164743315
ALB,180307891.55294108,17058818.12549021,497038.3328163867,217225835.89803928,22178302.294117637,622546.9673108001,257623796.39607823,28122861.231372587,753263.7495387549,288570029.12941164,32827264.49019604,893409.2560476807,303435059.392157,35603813.54901961,1035787.748932048
ARE,2357536574.8392196,200272978.9960783,2228978.412546383,2514079804.8784304,216052235.5333339,2954874.9672672614,2687311377.9921517,234222747.46666706,5148886.456216905,2884945117.1294055,255559417.9450985,5678233.454956538,3344289025.8705974,307795117.537256,6287206.594641633
ARG,10118319431.427439,1200318314.7960825,21562746.592706162,10724931359.988197,1290414357.2862735,23074562.51894975,11310645367.737288,1378148391.090196,24541627.336388726,11879392834.200033,1464033139.5490193,25830860.08216691,12260756112.011776,1524018329.8823516,26747623.199352637
ARM,678044781.2588224,62193960.32156876,1478921.317586455,708730835.6196074,66542803.278431244,1448220.1481534208,735013294.9490179,70348019.90588248,1410959.1323494578,756382473.5333372,73229151.99215698,1400391.4979958492,771809561.019608,75201770.98823513,1312607.5140167463
AUS,12821606814.164707,1459122676.1568577,10494109.940539537,13677141516.058798,1560207255.368623,11488566.607687704,14274268056.223518,1639642864.7686245,12751847.481013324,14925279712.737244,1728889630.9882345,14131709.974104844,16019859811.462729,1883257690.8862727,15971386.37220303
AUT,1352527842.2156882,133171669.5803924,2421217.973007192,1395197231.360785,139911574.44705868,2553651.6524251904,1437648986.152942,146753895.91764706,2680022.6554282443,1476764291.8862772,152991838.45098078,2844497.732660575,1508779985.1647086,158284565.21176487,3078153.989116775
AZE,1234409192.1607847,117427471.47450969,2328908.5762571,1501780902.7882366,155967138.1058821,2572861.6415503044,1656022937.384316,178128049.29803917,2802662.091703969,1804746388.5960805,199332296.80784297,2970223.5313674635,1932037978.803921,218118643.75294095,3125718.370653901
BDI,232688475.55294114,23407784.156862736,343397.30735488026,257202457.98039252,25936796.26274507,488587.95586292783,280178283.6352949,28429537.529411722,676332.5592775468,301208565.6549024,30828974.39999995,886855.7096747438,309226346.58823556,32109054.552941162,1081814.8342097146
BEL,3942457744.9568644,420844031.16470486,5431631.435078347,4247680382.952939,468806732.5215693,5795936.115989282,4544814238.933335,515635260.0000007,6134206.152246489,5080883596.462758,597152498.8549012,6762405.426708722,5380003276.560783,649664768.1764708,7198454.966095028
BEN,802251680.9529418,95680421.58823529,1663048.9830685365,932881484.4392154,113150341.45098042,1963434.8032990098,1116884597.6352928,139862836.52549005,2345718.726293752,1285830373.5294132,165739159.6862744,2780999.735145713,1316493014.1882377,172082838.76078475,3313405.169237463
BFA,786566543.4196072,107643212.76862799,1366170.9437614512,913659434.1921606,127600733.95294085,1926059.9576878618,1044575717.141176,148850975.611765,2502458.8358445275,1156538696.7333305,167692130.51764682,3130914.5825509126,1200145277.6274495,177790692.52941176,4010718.291360347
BGD,2344811359.0156884,257278091.56078494,23566354.4820046,2536446405.3019643,284961177.2901969,26918186.115280196,2729617341.5333366,314635598.2274517,29964828.27212811,2896242308.901955,341104077.1411767,33222287.090533245,2920091814.00392,345922395.30196095,35882921.99181949
BGR,694795172.4078432,71164958.11764702,2029121.446446186,734294912.7764696,76856229.10588236,2065778.2430340438,769273920.7254895,82224395.97647057,2102261.315805924,806711098.54902,88361409.84313726,2137087.4984185738,829143975.6313735,92273550.92156863,2158878.6811263775
BHR,421206209.50980365,46218232.69803917,541426.7108154309,431232368.4666656,47739477.14117647,685521.5852869323,441979313.8274497,49457682.909803994,925659.6978796348,458981106.8509804,52338833.925490275,1036924.825425026,597250927.2313756,69825355.21568623,1404826.3304868897
BHS,92357820.30588223,13146640.341176491,186454.69773233368,98770611.07058811,14258763.792156884,199619.85928144897,107033432.54509795,15793686.760784304,216332.22263879253,118266191.3372548,17846504.713725507,240752.0148935962,121551582.96078452,18495553.38823529,256117.98959217468
BIH,138866758.0784312,15957345.78039218,523072.112867158,159061067.25882354,18959690.564705867,530255.5268942881,181560103.04705888,22680091.301960792,520082.18688129983,200783198.09803927,26277821.890196018,498707.60380902945,215305851.93333256,28958526.9254902,439482.91837834043
BLR,1743826650.094118,163578528.37254894,4518885.538839704,1881648803.5176487,179452095.74901962,4636881.784143434,2057284720.2588205,201640287.28235286,4833696.313006576,2217235607.149019,222741134.95686242,5062229.969744398,2294633215.1019588,233934551.50588226,5287996.645128858
BOL,1895229602.7058825,206901227.49803945,3987591.450140643,2039946977.6705873,226879615.03529376,4512936.620593453,2194895926.254902,249068904.02745077,5023300.519479178,2335971728.8039207,268987353.8,5554503.649548023,2436136170.168626,284934746.48627484,6263917.153302238
BRA,35935926738.5451,3483539339.647063,74601678.7674404,17151667612.61178,1725570492.4392154,39637047.50663263,41999910315.62358,4237714337.156863,90627030.20234385,44415892169.9372,4548156775.792162,96762178.1222292,45803182427.78038,4749407548.77255,101117542.04856302
BWA,236497431.9686277,35048030.88627453,173777.85242148588,255036831.3098042,38399620.25882353,221527.39398945213,274016131.10980403,41850470.55294111,254682.60167342008,289248802.8549018,44676883.65490199,287862.3880965815,307668718.7882356,48117774.305882394,336698.9573033455
CAF,227517122.95686245,31061842.827451028,781353.4579448019,234449936.79607835,32153080.376470633,875813.2969926794,243399641.70980376,33614407.7137255,986648.6612804887,253756170.4862743,35324284.48235299,1070628.4650815187,270497829.6509804,38639418.12941175,1184859.2391299605
CAN,16180767499.490192,1801731649.6666636,17940178.691203285,17781980564.14901,2012215683.3097975,20474301.477854628,18952623059.60395,2174701654.8666663,22289145.89827531,19830736623.431385,2304348975.8548975,23586799.99465516,20366283560.192135,2388051988.415681,25052670.756552972
CHE,4491237007.701979,407715809.2980406,6684808.951893602,4840947471.094118,453955781.6980382,7200209.445364253,5732064559.878433,558304095.1686279,8331469.513152424,5996772189.639223,595463855.6196071,8833357.187701164,6133348702.125458,615243489.0196073,9123514.067033112
CHL,2299372716.0941176,270705819.43921536,8400498.137325864,2707690176.635293,325537061.7490208,9365797.58385111,3139730326.768626,384138661.07843137,10202773.896951558,3449482284.6078386,426933942.611765,10764757.732787909,3548188692.8431396,440244348.9490194,11523449.469453892
CHN,139693053671.84714,10022537801.341171,343518043.7454881,170188013803.2351,12920059314.952944,406094863.78023136,212335895936.77658,17307382578.658806,467699622.1561009,252995021311.62677,21877151808.98822,524058450.13772076,279152304204.7801,25380582220.180428,576954296.3317764
CIV,1610060962.5568643,178167103.5529411,4751405.179693791,1724325116.0000021,191780469.98431394,5436108.464366078,1853813184.9803958,208005961.9607842,6127347.2697614115,1995378678.6980357,226289478.9921571,6876591.973390349,2134214854.1098037,250579727.40000036,8017119.034862714
CMR,2210855465.7137256,242386052.75686288,5849531.807758435,2418131298.2392173,266393403.529412,7194975.301248263,2679410453.007839,297723848.9450981,8861263.313019086,2919102058.933334,328380193.9176472,10801108.373106405,3070640750.2549,353579771.2039213,13003119.937080014
COD,3856020709.619605,454704970.501961,14917134.678768106,4069814760.9098005,479945326.9803922,17042385.008416448,4327230757.564705,512081453.54901993,19847279.60112377,4607397489.184308,550335329.4078429,23728111.019793723,5169135172.058817,643497174.1960794,29214384.374239136
COG,1910295907.858821,228543668.2941178,7365725.81746082,1958349691.0431333,234445316.09803924,7796109.503627265,2010155975.1294107,241065180.22745088,8647336.59522412,2071591530.1843095,249347387.8117643,10567967.22198098,2266237920.4039154,282469517.31764764,13625815.055878844
COL,4571070115.701961,420761134.7647062,19254694.793378,4892703684.090196,452823777.41176504,21531210.92122083,5253775498.462744,491133724.7411766,23691633.50436715,5517657579.439217,519624825.286275,25693933.42999314,5751214248.737254,546472634.470589,27889401.353427425
CPV,52594858.01960779,4444829.31372549,13809.860732321897,52732615.29803917,4460288.635294115,14684.758979447768,52922885.8470588,4486901.552941175,15278.58852163457,53102985.929411724,4515066.41568627,15507.474998999047,53206220.498039186,4528617.427450977,15617.266901824956
CRI,789559981.803924,89919564.10588208,1630518.3747089487,814379947.7294096,93091258.63529362,1742462.2771337344,838574935.384315,96329020.65098043,1839945.0493441469,862624036.1098045,99537331.86274514,1954457.6275735407,885564281.7960774,103100814.67843133,2113997.4729564423
CUB,856461982.0823526,101104651.98431376,3657380.3808428063,869558107.313725,103286735.10196096,3718165.370335039,886561783.1098033,106185152.08235312,3769242.3045281065,909822813.3019613,110263188.78823546,3829791.8645644234,958941516.4470592,117532757.56470609,3912471.087670035
CUW,76143119.99215694,9092898.325490199,80874.51963060621,107162541.87843154,13076582.501960818,107539.48952817862,136066999.88627452,16923972.87450981,125155.58266967288,166022649.56470573,20930260.690196086,136856.65082182013,212979389.2823529,26876774.443137288,165008.45671074864
