geo,urban_built_area_2000,urban_population_2000,urban_built_area_2005,urban_population_2005,urban_builtuparea_growthrate_2000-2005,urban_population_growthrate_2000-2005,rateratio_2000-2005,urban_built_area_2010,urban_population_2010,urban_builtuparea_growthrate_2005-2010,urban_population_growthrate_2005-2010,rateratio_2005-2010,urban_built_area_2015,urban_population_2015,urban_builtuparea_growthrate_2010-2015,urban_population_growthrate_2010-2015,rateratio_2010-2015,urban_built_area_2020,urban_population_2020,urban_builtuparea_growthrate_2015-2020,urban_population_growthrate_2015-2020,rateratio_2015-2020
global,86855347125.88231,1989172744.330064,98065577950.5097,2248691895.75833,0.12906782593799365,0.13046586937610066,0.9892842208863316,111950644251.19212,2510204229.3568435,0.14158960351704378,0.11629531555292211,1.21750048868143,125819051511.85095,2755511533.0620465,0.12387965565916026,0.09772404206651142,1.2676476846388243,135924404402.43915,2985964378.928599,0.08031655595207192,0.08363341728076998,0.9603404782855774
AFG,84221597.76862752,3869256.9216011725,94322976.50196084,4777468.961423881,0.11993810377575234,0.2347251832134407,0.510972457806924,111958510.34509805,5723072.191004288,0.18696964935972504,0.19792974841192448,0.9446263174680055,130070818.31764704,6832927.365021722,0.16177696466950192,0.19392646763427876,0.8342180757636095,142564288.41960782,8425116.408258624,0.09605129162369357,0.23301711816628395,0.412207018864383
AGO,475484937.0705881,9563508.067214934,497471805.7921572,11039050.047755513,0.046240936373353504,0.1542887787797186,0.29970381993477746,512675746.5490192,14271898.553434392,0.03056241696482036,0.2928556797635128,0.10435999393797028,535555229.16862816,19722622.47589246,0.044627589219146585,0.3819200299140584,0.11685061197023082,618483923.243137,26027327.164743315,0.15484620363663262,0.31966867978927643,0.48439591810716726
ALB,17058818.12549021,497038.3328163867,22178302.294117637,622546.9673108001,0.30010778771230434,0.2525129878479174,1.1884845618042115,28122861.231372587,753263.7495387549,0.2680348954767214,0.20997095655707504,1.276533192360169,32827264.49019604,893409.2560476807,0.16728039228012248,0.18605104333607045,0.899110208040909,35603813.54901961,1035787.748932048,0.08458057964753034,0.1593653657834597,0.5307337590681753
ARE,200272978.9960783,2228978.412546383,216052235.5333339,2954874.9672672614,0.07878874432463788,0.3256633400462656,0.2419331089383432,234222747.46666706,5148886.456216905,0.08410240184961983,0.7425056942354207,0.11326835942480208,255559417.9450985,5678233.454956538,0.09109563741868376,0.10280805437076299,0.8860749089770728,307795117.537256,6287206.594641633,0.20439747441974235,0.10724693595567504,1.9058584061014054
ARG,1200318314.7960823,21562746.592706162,1290414357.2862735,23074562.51894975,0.075060124784897,0.07011240055823764,1.0705684613173332,1378148391.090196,24541627.336388726,0.06798904034857925,0.06357931233730489,1.0693579066706416,1464033139.5490193,25830860.08216691,0.062318941134403956,0.05253248809082004,1.1862933472076318,1524018329.8823516,26747623.199352637,0.0409725631974493,0.03549100240059916,1.1544493090101506
ARM,62193960.32156876,1478921.317586455,66542803.278431244,1448220.1481534208,0.06992387901296447,-0.02075916349839181,-3.3683379881073434,70348019.90588248,1410959.1323494578,0.057184495392075436,-0.02572883401150942,-2.222584022520989,73229151.99215698,1400391.4979958492,0.04095541125576991,-0.007489681388582745,-5.468244793190036,75201770.98823513,1312607.5140167463,0.02693761900027766,-0.06268531628814782,-0.4297277352235498
AUS,1471647483.027446,10577363.396194588,1560207255.368623,11488566.607687704,0.06017730017720919,0.08614653551762615,0.6985457954359234,1639642864.7686245,12751847.481013324,0.050913498271890574,0.10995983367326967,0.46301905496849827,1728889630.9882345,14131709.974104844,0.05443061299339956,0.1082088297516141,0.5030145240304444,1883257690.8862727,15971386.37220303,0.08928739991910371,0.13018073548560197,0.6858726030855689
AUT,133171669.5803924,2421217.973007192,139911574.44705868,2553651.6524251904,0.050610650808110204,0.054697132143585465,0.9252889287733068,146753895.91764706,2680022.6554282443,0.04890461348626636,0.04948639055097429,0.988243695726633,152991838.45098078,2844497.732660575,0.042506146050352384,0.06137077867576791,0.692612135083367,158284565.21176487,3078153.989116775,0.034594830772491834,0.0821432387775721,0.4211525049087473
AZE,117427471.47450969,2328908.5762571,155967138.1058821,2572861.6415503044,0.32819974872522345,0.10474995359640657,3.133173213515221,178128049.29803917,2802662.091703969,0.14208705411464678,0.08931706487535647,1.5908164281140649,199332296.80784297,2970223.5313674635,0.11903935170999044,0.05978652944266288,1.9910731199768477,218118643.75294095,3125718.370653901,0.09424637776189418,0.052351224628150755,1.8002707373384959
BDI,23407784.156862736,343397.30735488026,25936796.26274507,488587.95586292783,0.10804149973934526,0.4228066015613857,0.2555340889672914,28429537.529411722,676332.5592775468,0.0961082950035413,0.38425958143612177,0.25011294355848895,30828974.39999995,886855.7096747438,0.08439943379683526,0.3112716481106221,0.2711439808576486,32109054.552941162,1081814.8342097146,0.041521983064776044,0.21983184232581915,0.18888065816796054
BEL,420844027.7647049,5431631.449658409,468806732.5215693,5795936.115989282,0.11396788737056883,0.06707094722963648,1.6992139231367542,515635260.0000007,6134206.152246489,0.09988876914492023,0.0583633134471617,1.711499283455744,597152498.8549012,6762405.426708722,0.15809089326998385,0.10240922115605312,1.5437173672972468,649664768.1764708,7198454.966095028,0.08793778711847813,0.06448142515444141,1.363769285617613
BEN,95680421.58823529,1663048.9830685365,113150341.45098042,1963434.8032990098,0.18258615057036087,0.180623555462704,1.0108656653481838,139862836.52549005,2345718.726293752,0.23607966827110413,0.1947016128839214,1.2125203524217942,165739159.6862744,2780999.735145713,0.1850121433513784,0.18556402520591525,0.9970259221639299,172082838.76078475,3313405.169237463,0.038275076852798136,0.19144389960319563,0.1999284225411758
BFA,107643212.76862799,1366170.9437614512,127600733.95294085,1926059.9576878618,0.18540436197505777,0.4098235411045117,0.4524004684439946,148850975.611765,2502458.8358445275,0.16653698611687637,0.29926320614058327,0.5564900151428679,167692130.51764682,3130914.5825509126,0.12657730208650805,0.2511352984930497,0.5040203541518921,177790692.52941176,4010718.291360347,0.0602208462650681,0.281005337454021,0.21430499082574056
BGD,257278091.56078494,23566354.4820046,284961177.2901969,26918186.115280196,0.10759985648786387,0.14222953473075658,0.7565225935074076,314635598.2274517,29964828.27212811,0.1041349604863372,0.11318155479720368,0.9200700650642591,341104077.1411767,33222287.090533245,0.08412423471100947,0.10870941054032582,0.7738450083841043,345922395.30196095,35882921.99181949,0.014125653968041054,0.08008584400092073,0.17638140852806214
BGR,71164958.11764702,2029121.446446186,76856229.10588236,2065778.2430340438,0.07997294087950928,0.018065353679080565,4.42686826398073,82224395.97647057,2102261.315805924,0.06984686775606258,0.017660691748934775,3.954933858141512,88361409.84313726,2137087.4984185738,0.07463738460812609,0.01656605786864258,4.505440292431012,92273550.92156863,2158878.6811263775,0.044274317095849405,0.010196673146948394,4.342035530392536
BHR,46218232.69803917,541426.7108154309,47739477.14117647,685521.5852869323,0.03291437933328512,0.2661392051649674,0.12367354637917032,49457682.909803994,925659.6978796348,0.035991298428895646,0.35029985597344854,0.10274425699913407,52338833.925490275,1036924.825425026,0.058254872573400535,0.12020089866747036,0.4846458988177756,69825355.21568623,1404826.3304868897,0.3341022330587231,0.3548005564540942,0.9416620886893983
BHS,13146640.341176491,186454.69773233368,14258763.792156884,199619.85928144897,0.08459373818093432,0.07060782972609587,1.1980787188771136,15793686.760784304,216332.22263879253,0.10764768888812876,0.08372094548859686,1.2857916051938378,17846504.713725507,240752.0148935962,0.12997712212694676,0.11288097518221835,1.151452863665741,18495553.38823529,256117.98959217468,0.036368391733906734,0.06382490591146116,0.5698150465643851
BIH,15957345.78039218,523072.112867158,18959690.564705867,530255.5268942881,0.18814813100076222,0.013733123694465528,13.700315761124779,22680091.301960792,520082.18688129983,0.1962268700830267,-0.019185731212597937,-10.227750399952344,26277821.890196018,498707.60380902945,0.15862945789482719,-0.04109847176355759,-3.8597410338621265,28958526.9254902,439482.91837834043,0.1020139738558136,-0.11875633132188612,-0.8590192431871883
BLR,163578528.37254894,4518885.538839704,179452095.74901962,4636881.784143434,0.0970394313630133,0.02611180218873766,3.71630539560642,201640287.28235286,4833696.313006576,0.12364409254024808,0.042445448908398166,2.9130117767651673,222741134.95686242,5062229.969744398,0.1046459909321715,0.047279274894221346,2.2133586262965665,233934551.50588226,5287996.645128858,0.05025302825716335,0.04459826533638483,1.1267933377705874
BOL,206901227.49803945,3987591.450140643,226879615.03529376,4512936.620593453,0.09656002421466356,0.13174498366282758,0.7329313157136046,249068904.02745077,5023300.519479178,0.0978020391506095,0.11308909071685834,0.8648229332347972,268987353.8,5554503.649548023,0.07997164419350382,0.10574783013856415,0.7562485593199868,284934746.48627484,6263917.153302238,0.05928677486500789,0.12771861331154966,0.46419839150920816
BRA,3483539339.6470623,74601678.76744041,3878104858.2548985,83314304.69032367,0.1132656990886206,0.11678860404795403,0.9698351993496993,4237714337.156863,90627030.20234385,0.0927281473930503,0.08777274849980839,1.0564571461864696,4548156775.792162,96762178.1222292,0.07325704706268109,0.06769666738706265,1.0821366825020557,4749407548.77255,101117542.04856302,0.04424886451838183,0.045011015779658804,0.9830674503102105
BWA,35048030.88627453,173777.85242148588,38399620.25882353,221527.39398945213,0.09562846436150406,0.274773458772831,0.34802656991905795,41850470.55294111,254682.60167342008,0.08986678177695372,0.14966640056058536,0.6004472709997152,44676883.65490199,287862.3880965815,0.06753599337396803,0.13027896764502161,0.518395214475349,48117774.305882394,336698.9573033455,0.07701724850727962,0.1696524840556061,0.4539706502737448
CAF,31061842.827451028,781353.4579448019,32153080.376470633,875813.2969926794,0.035131127122155784,0.12089258463939698,0.29059786608869564,33614407.7137255,986648.6612804887,0.04544906180510949,0.12655136051072743,0.35913530776507846,35324284.48235299,1070628.4650815187,0.050867377559929663,0.08511621927509604,0.5976226152095179,38639418.12941175,1184859.2391299605,0.09384857175847142,0.10669506535093305,0.8795961786029377
CAN,1891567202.1960752,18675478.150673494,2012215683.3097975,20474301.477854628,0.06378228644145005,0.09632006809508453,0.6621910439108694,2174701654.8666663,22289145.89827531,0.08074977891515256,0.08864011416377983,0.9109845996582502,2304348975.8548975,23586799.99465516,0.05961614122934947,0.05821910369747546,1.0239962047360511,2388051988.415681,25052670.756552972,0.03632393072309291,0.06214792859692643,0.5844753243294634
CHE,407715809.2980406,6684808.951893602,453955781.6980382,7200209.445364253,0.11341226252572445,0.07710025779041209,1.470971249331257,558304095.1686279,8331469.4972676635,0.22986448829943515,0.15711488123887227,1.4630344782551614,595463855.6196071,8833357.187701164,0.06655828028586402,0.06023999614931031,1.1048852015344302,615243489.0196073,9123514.067033112,0.033217185582857266,0.03284785989815273,1.0112435235004549
CHL,270705819.43921536,8400498.137325864,325537061.7490208,9365797.58385111,0.20254918207296735,0.11490978638946883,1.7626799982593164,384138661.07843137,10202773.896951558,0.18001513872048955,0.08936519347200035,2.0143764224814373,426933942.611765,10764757.732787909,0.11140581740247163,0.055081475049080876,2.02256416160247,440244348.9490194,11523449.469453892,0.031176734873381205,0.07047922075896948,0.4423535694300866
CHN,10022537801.341171,343518043.7454881,12920059314.952944,406094863.78023136,0.2891005822122256,0.18216457963153254,1.5870296124361518,17307382578.658806,467699622.1561009,0.3395745450354259,0.15170041256470695,2.238454987000001,21877151808.98822,524058450.13568777,0.26403583612719433,0.12050218839128404,2.191128971615358,25380582218.274544,576954296.3634377,0.1601410658880623,0.10093501252399277,1.5865759748134567
